"Population","P010001","P010004","P010011","state","county","tract","GEOID"
3411,2568,236,5,"51","059","415100","51059415100"
3107,2672,115,8,"51","059","415200","51059415200"
3763,2937,372,14,"51","059","415300","51059415300"
5135,3835,1292,21,"51","059","415401","51059415401"
2691,2136,310,8,"51","059","415402","51059415402"
5806,4247,799,11,"51","059","415500","51059415500"
2640,1999,27,2,"51","059","415600","51059415600"
3821,2633,32,5,"51","059","415700","51059415700"
4752,3381,76,6,"51","059","415800","51059415800"
3160,2450,111,5,"51","059","415900","51059415900"
5522,4026,889,20,"51","059","416000","51059416000"
3734,2913,162,10,"51","059","416100","51059416100"
5280,2844,596,19,"51","059","416200","51059416200"
2005,1551,62,1,"51","059","416300","51059416300"
4158,3128,303,7,"51","059","420100","51059420100"
3672,2772,504,6,"51","059","420201","51059420201"
1941,1687,385,13,"51","059","420202","51059420202"
2637,2042,242,3,"51","059","420203","51059420203"
5814,4443,373,16,"51","059","420300","51059420300"
2958,2647,493,21,"51","059","420400","51059420400"
1578,1486,112,0,"51","059","420501","51059420501"
1700,1505,212,12,"51","059","420502","51059420502"
2506,2129,322,11,"51","059","420503","51059420503"
4334,3317,520,13,"51","059","420600","51059420600"
4095,3127,220,9,"51","059","420700","51059420700"
3661,2738,210,7,"51","059","420800","51059420800"
2663,2061,329,12,"51","059","421001","51059421001"
4947,3784,659,13,"51","059","421002","51059421002"
5683,4221,788,17,"51","059","421101","51059421101"
3296,2562,456,8,"51","059","421102","51059421102"
5261,3898,561,18,"51","059","421103","51059421103"
1926,1440,90,3,"51","059","421200","51059421200"
3690,2888,419,14,"51","059","421300","51059421300"
7158,5177,1674,27,"51","059","421400","51059421400"
7001,4787,1292,15,"51","059","421500","51059421500"
6342,4556,1818,17,"51","059","421600","51059421600"
4546,3281,1050,16,"51","059","421701","51059421701"
4054,3062,738,17,"51","059","421702","51059421702"
5862,4435,1465,27,"51","059","421800","51059421800"
2216,1418,372,8,"51","059","421900","51059421900"
3439,2670,559,6,"51","059","422000","51059422000"
6674,4862,1369,24,"51","059","422101","51059422101"
6101,4251,1532,22,"51","059","422102","51059422102"
3394,2330,303,3,"51","059","422201","51059422201"
5518,3891,995,14,"51","059","422202","51059422202"
3085,2373,372,12,"51","059","422301","51059422301"
5572,4482,667,22,"51","059","422302","51059422302"
2475,2007,327,17,"51","059","422401","51059422401"
4805,3730,692,17,"51","059","422402","51059422402"
2695,2066,253,1,"51","059","422403","51059422403"
4569,3454,94,5,"51","059","430101","51059430101"
2939,2244,166,7,"51","059","430102","51059430102"
4176,3147,198,7,"51","059","430201","51059430201"
5048,3815,181,6,"51","059","430202","51059430202"
2691,2022,88,9,"51","059","430203","51059430203"
6799,5162,181,5,"51","059","430400","51059430400"
1690,1291,71,5,"51","059","430500","51059430500"
7048,5331,258,11,"51","059","430600","51059430600"
2729,2125,93,3,"51","059","430700","51059430700"
4452,3356,124,11,"51","059","430801","51059430801"
4197,3293,281,18,"51","059","430802","51059430802"
4203,3144,329,6,"51","059","430901","51059430901"
3399,2550,156,3,"51","059","430902","51059430902"
4914,3748,316,6,"51","059","431001","51059431001"
2192,1647,215,5,"51","059","431002","51059431002"
4234,3095,168,8,"51","059","431300","51059431300"
4283,3193,233,17,"51","059","431400","51059431400"
5325,4025,274,2,"51","059","431500","51059431500"
8219,6714,440,6,"51","059","431600","51059431600"
4061,3033,171,6,"51","059","431801","51059431801"
3216,2418,104,8,"51","059","431802","51059431802"
3187,2367,64,1,"51","059","431900","51059431900"
3430,2495,157,8,"51","059","432000","51059432000"
3518,2728,143,8,"51","059","432100","51059432100"
2536,1941,133,5,"51","059","432201","51059432201"
4535,3421,186,10,"51","059","432202","51059432202"
4997,3732,197,5,"51","059","432300","51059432300"
3539,2628,98,2,"51","059","432401","51059432401"
4932,3633,223,11,"51","059","432402","51059432402"
5417,4070,280,7,"51","059","432500","51059432500"
4783,3475,331,5,"51","059","432600","51059432600"
3210,2440,227,5,"51","059","432701","51059432701"
4325,3227,540,13,"51","059","432702","51059432702"
2241,1599,291,15,"51","059","432800","51059432800"
7135,5305,140,7,"51","059","440100","51059440100"
2233,1833,146,6,"51","059","440201","51059440201"
5815,4601,372,29,"51","059","440202","51059440202"
2665,2023,56,0,"51","059","440300","51059440300"
4942,3758,103,3,"51","059","440501","51059440501"
7906,7345,1185,58,"51","059","440502","51059440502"
2846,2133,79,8,"51","059","440600","51059440600"
2901,2133,37,0,"51","059","440701","51059440701"
5151,3897,78,8,"51","059","440702","51059440702"
5874,4434,100,4,"51","059","440800","51059440800"
5442,4399,234,14,"51","059","450100","51059450100"
4608,3339,176,3,"51","059","450200","51059450200"
4806,3743,316,7,"51","059","450300","51059450300"
2631,2060,52,2,"51","059","450400","51059450400"
3016,2345,55,1,"51","059","450500","51059450500"
4023,3180,62,2,"51","059","450601","51059450601"
4639,3748,182,4,"51","059","450602","51059450602"
2779,2208,138,3,"51","059","450701","51059450701"
4399,3390,302,8,"51","059","450702","51059450702"
3321,2703,111,3,"51","059","450800","51059450800"
1688,1290,17,2,"51","059","450900","51059450900"
2711,2150,97,4,"51","059","451000","51059451000"
2307,1804,33,0,"51","059","451100","51059451100"
1699,1306,23,1,"51","059","451200","51059451200"
2397,1875,63,3,"51","059","451300","51059451300"
3218,2594,125,3,"51","059","451400","51059451400"
6037,4723,381,29,"51","059","451501","51059451501"
4288,3410,458,20,"51","059","451502","51059451502"
6047,4519,129,3,"51","059","451601","51059451601"
2803,2170,222,12,"51","059","451602","51059451602"
3395,2673,145,5,"51","059","451800","51059451800"
6215,4816,979,23,"51","059","451900","51059451900"
2831,2258,189,7,"51","059","452000","51059452000"
4864,3774,374,10,"51","059","452101","51059452101"
3149,2530,200,3,"51","059","452102","51059452102"
6767,5065,538,10,"51","059","452200","51059452200"
3659,2917,251,4,"51","059","452301","51059452301"
4882,3676,323,9,"51","059","452302","51059452302"
7093,5363,384,13,"51","059","452400","51059452400"
3873,3036,189,7,"51","059","452501","51059452501"
5130,3759,1118,10,"51","059","452502","51059452502"
6116,4926,1142,10,"51","059","452600","51059452600"
5539,4170,959,11,"51","059","452700","51059452700"
5185,4238,770,8,"51","059","452801","51059452801"
2936,2444,410,11,"51","059","452802","51059452802"
4286,3117,82,1,"51","059","460100","51059460100"
3973,2826,20,3,"51","059","460200","51059460200"
2830,1987,12,1,"51","059","460300","51059460300"
4882,3737,140,7,"51","059","460400","51059460400"
2599,1877,38,1,"51","059","460501","51059460501"
6708,4996,243,8,"51","059","460502","51059460502"
3849,2884,75,3,"51","059","460600","51059460600"
3528,2656,79,8,"51","059","460701","51059460701"
4294,3202,92,5,"51","059","460702","51059460702"
3034,2256,48,0,"51","059","460800","51059460800"
2387,1780,24,1,"51","059","460900","51059460900"
2444,1764,162,7,"51","059","461000","51059461000"
7336,5403,155,6,"51","059","461100","51059461100"
4424,3227,67,1,"51","059","461201","51059461201"
4660,3739,323,12,"51","059","461202","51059461202"
6380,4890,152,7,"51","059","461500","51059461500"
6237,5038,256,8,"51","059","461601","51059461601"
3916,3342,174,5,"51","059","461602","51059461602"
6594,5286,316,6,"51","059","461700","51059461700"
1370,1078,73,7,"51","059","461801","51059461801"
5167,4146,213,9,"51","059","461802","51059461802"
3708,2884,324,7,"51","059","461901","51059461901"
1775,1340,144,9,"51","059","461902","51059461902"
2732,2011,31,2,"51","059","470100","51059470100"
3253,2358,43,6,"51","059","470300","51059470300"
4843,3503,85,8,"51","059","470400","51059470400"
5403,3995,57,11,"51","059","470500","51059470500"
2676,2074,40,0,"51","059","470600","51059470600"
5392,3874,59,6,"51","059","470700","51059470700"
2988,2193,40,1,"51","059","470800","51059470800"
7263,5330,67,13,"51","059","470900","51059470900"
2106,1641,27,3,"51","059","471000","51059471000"
6477,5114,173,15,"51","059","471100","51059471100"
3164,2621,197,18,"51","059","471201","51059471201"
4593,3804,197,7,"51","059","471202","51059471202"
3985,3189,164,8,"51","059","471301","51059471301"
3887,3230,114,7,"51","059","471303","51059471303"
1803,1355,22,2,"51","059","471304","51059471304"
3647,2822,118,7,"51","059","471401","51059471401"
3495,2667,332,1,"51","059","471402","51059471402"
4239,3155,56,4,"51","059","480100","51059480100"
4592,3272,57,4,"51","059","480201","51059480201"
2971,2655,127,11,"51","059","480202","51059480202"
2054,1722,36,6,"51","059","480203","51059480203"
7105,5126,122,2,"51","059","480300","51059480300"
4526,3086,64,3,"51","059","480401","51059480401"
5936,4161,115,5,"51","059","480402","51059480402"
3604,2490,115,4,"51","059","480501","51059480501"
5784,4261,195,3,"51","059","480502","51059480502"
3401,2496,138,8,"51","059","480503","51059480503"
2047,1543,66,6,"51","059","480504","51059480504"
3136,2486,154,8,"51","059","480505","51059480505"
5051,3686,288,6,"51","059","480801","51059480801"
3685,2780,206,3,"51","059","480802","51059480802"
6641,4886,501,8,"51","059","480901","51059480901"
3578,2724,385,5,"51","059","480902","51059480902"
4337,3374,259,8,"51","059","480903","51059480903"
5843,4355,519,12,"51","059","481000","51059481000"
1961,1703,159,8,"51","059","481101","51059481101"
3064,2394,270,13,"51","059","481102","51059481102"
3324,2376,390,7,"51","059","481103","51059481103"
2567,2002,211,10,"51","059","481104","51059481104"
5539,3797,138,11,"51","059","481105","51059481105"
5355,3752,159,9,"51","059","481106","51059481106"
1220,890,90,0,"51","059","481201","51059481201"
6438,4521,735,18,"51","059","481202","51059481202"
6298,5018,364,20,"51","059","481400","51059481400"
2289,1751,58,1,"51","059","481500","51059481500"
3392,2426,33,3,"51","059","481600","51059481600"
6078,4319,66,1,"51","059","481701","51059481701"
4136,3334,190,4,"51","059","481702","51059481702"
5567,4116,428,20,"51","059","481900","51059481900"
4801,3429,140,14,"51","059","482001","51059482001"
3587,2977,150,6,"51","059","482002","51059482002"
3240,2631,261,8,"51","059","482100","51059482100"
2114,1600,236,7,"51","059","482201","51059482201"
3500,3060,239,4,"51","059","482202","51059482202"
3960,3562,224,6,"51","059","482203","51059482203"
4609,3896,244,13,"51","059","482301","51059482301"
4585,3452,513,19,"51","059","482302","51059482302"
3430,2896,147,8,"51","059","482303","51059482303"
2378,1681,41,2,"51","059","482400","51059482400"
7560,5629,954,26,"51","059","482501","51059482501"
3078,2184,73,2,"51","059","482502","51059482502"
4947,3402,111,6,"51","059","482503","51059482503"
5416,3700,120,4,"51","059","482504","51059482504"
7229,5193,257,5,"51","059","482601","51059482601"
6971,4888,247,10,"51","059","482602","51059482602"
5250,3868,259,14,"51","059","490101","51059490101"
5511,4030,182,17,"51","059","490103","51059490103"
3281,2520,196,21,"51","059","490501","51059490501"
6312,4710,168,4,"51","059","490502","51059490502"
1914,1354,49,2,"51","059","491000","51059491000"
3847,2661,115,8,"51","059","491101","51059491101"
3507,2571,93,8,"51","059","491102","51059491102"
6424,4627,439,20,"51","059","491103","51059491103"
6213,4606,397,24,"51","059","491201","51059491201"
1549,1309,108,6,"51","059","491202","51059491202"
6677,4624,491,26,"51","059","491301","51059491301"
3359,2581,228,8,"51","059","491302","51059491302"
3838,3001,343,10,"51","059","491303","51059491303"
4863,3668,249,16,"51","059","491401","51059491401"
4116,3007,254,10,"51","059","491402","51059491402"
3689,2603,92,11,"51","059","491403","51059491403"
3960,2874,253,3,"51","059","491404","51059491404"
2790,1955,50,1,"51","059","491405","51059491405"
7015,5145,264,24,"51","059","491501","51059491501"
7079,4889,196,9,"51","059","491502","51059491502"
4942,3527,389,11,"51","059","491601","51059491601"
5210,3895,215,12,"51","059","491602","51059491602"
3588,3036,213,8,"51","059","491701","51059491701"
6967,5825,616,39,"51","059","491702","51059491702"
4548,3841,443,13,"51","059","491703","51059491703"
4969,3952,330,10,"51","059","491704","51059491704"
3327,2206,134,4,"51","059","491705","51059491705"
2349,1949,177,13,"51","059","491801","51059491801"
2861,2206,138,3,"51","059","491802","51059491802"
6798,5300,309,13,"51","059","491803","51059491803"
6449,4857,191,6,"51","059","492000","51059492000"
6313,4893,128,6,"51","059","492100","51059492100"
2761,2149,96,3,"51","059","492201","51059492201"
6844,4915,286,8,"51","059","492202","51059492202"
4065,2860,150,4,"51","059","492203","51059492203"
3330,2415,221,5,"51","059","492300","51059492300"
4603,3442,467,11,"51","059","492400","51059492400"
4064,3055,57,3,"51","059","492500","51059492500"
10,4,0,0,"51","059","980100","51059980100"
0,0,0,0,"51","059","980200","51059980200"
4,4,0,0,"51","059","980300","51059980300"
5551,4333,315,17,"51","061","930100","51061930100"
2702,2196,177,4,"51","061","930203","51061930203"
3367,2624,125,3,"51","061","930204","51061930204"
1678,1320,128,2,"51","061","930205","51061930205"
2133,1691,101,3,"51","061","930206","51061930206"
1660,1192,126,2,"51","061","930207","51061930207"
7449,5615,660,11,"51","061","930302","51061930302"
3613,2830,213,6,"51","061","930303","51061930303"
2221,1723,33,2,"51","061","930304","51061930304"
4567,3249,162,14,"51","061","930401","51061930401"
5714,4116,230,10,"51","061","930402","51061930402"
6715,4848,519,18,"51","061","930403","51061930403"
2521,1922,96,2,"51","061","930703","51061930703"
3799,2909,263,4,"51","061","930704","51061930704"
3652,2597,316,12,"51","061","930705","51061930705"
5602,3893,450,14,"51","061","930706","51061930706"
2259,1700,139,8,"51","061","930707","51061930707"
6177,4781,120,2,"51","063","920101","51063920101"
3753,2964,100,2,"51","063","920102","51063920102"
5349,4187,19,0,"51","063","920200","51063920200"
5571,4566,1028,4,"51","065","020101","51065020101"
9341,7003,372,19,"51","065","020102","51065020102"
5468,4233,1217,14,"51","065","020200","51065020200"
5311,3971,497,7,"51","065","020300","51065020300"
5194,4464,54,0,"51","067","020101","51067020101"
2508,2088,108,0,"51","067","020102","51067020102"
5529,4219,303,7,"51","067","020200","51067020200"
6127,4942,166,7,"51","067","020300","51067020300"
5448,4288,138,4,"51","067","020400","51067020400"
8135,6299,230,8,"51","067","020500","51067020500"
3774,3128,378,0,"51","067","020600","51067020600"
5914,4572,255,2,"51","067","020700","51067020700"
6566,5146,1027,15,"51","067","020800","51067020800"
6964,5336,1003,4,"51","067","020900","51067020900"
4089,3202,52,2,"51","069","050100","51069050100"
3880,3036,48,8,"51","069","050200","51069050200"
5999,4493,55,9,"51","069","050300","51069050300"
6748,5125,68,5,"51","069","050400","51069050400"
4959,3893,53,4,"51","069","050500","51069050500"
4439,3358,113,7,"51","069","050600","51069050600"
2740,2068,70,4,"51","069","050700","51069050700"
3886,2948,88,8,"51","069","050801","51069050801"
7274,5271,241,14,"51","069","050802","51069050802"
6921,4914,231,20,"51","069","050803","51069050803"
4357,3353,158,13,"51","069","050900","51069050900"
9391,6989,412,24,"51","069","051000","51069051000"
7105,4865,258,10,"51","069","051101","51069051101"
6517,5115,375,20,"51","069","051102","51069051102"
3663,2944,1482,4,"51","025","930100","51025930100"
2321,1848,1300,3,"51","025","930201","51025930201"
1715,1715,1260,0,"51","025","930202","51025930202"
4378,3255,2060,9,"51","025","930203","51025930203"
5357,4305,1765,4,"51","025","930300","51025930300"
5163,4022,29,2,"51","027","010100","51027010100"
3137,2534,4,0,"51","027","010200","51027010200"
3286,2645,2,1,"51","027","010300","51027010300"
2344,1921,11,1,"51","027","010400","51027010400"
1516,1241,0,0,"51","027","010500","51027010500"
4623,3939,485,1,"51","027","010600","51027010600"
4029,3283,1,1,"51","027","010700","51027010700"
3498,2794,100,1,"51","023","040100","51023040100"
4294,3392,74,8,"51","023","040200","51023040200"
2954,2374,128,3,"51","023","040301","51023040301"
7567,5807,98,1,"51","023","040302","51023040302"
2201,1743,34,0,"51","023","040401","51023040401"
4898,3741,200,5,"51","023","040402","51023040402"
6330,4779,100,3,"51","023","040501","51023040501"
1406,1084,52,0,"51","023","040502","51023040502"
2941,2487,17,2,"51","001","090100","51001090100"
6156,4922,1449,9,"51","001","090200","51001090200"
2335,1814,321,3,"51","001","090300","51001090300"
6234,4704,1811,11,"51","001","090400","51001090400"
2849,2164,589,8,"51","001","090500","51001090500"
4401,3661,599,2,"51","001","090600","51001090600"
4907,3871,1282,1,"51","001","090700","51001090700"
3336,2612,1028,3,"51","001","090800","51001090800"
0,0,0,0,"51","001","980100","51001980100"
5,4,0,0,"51","001","980200","51001980200"
0,0,0,0,"51","001","990100","51001990100"
0,0,0,0,"51","001","990200","51001990200"
5190,4083,96,6,"51","003","010100","51003010100"
4664,3457,302,6,"51","003","010201","51003010201"
3077,2404,51,5,"51","003","010202","51003010202"
8098,5732,319,17,"51","003","010300","51003010300"
4331,3410,391,9,"51","003","010401","51003010401"
3314,2562,142,4,"51","003","010402","51003010402"
4543,3669,332,7,"51","003","010500","51003010500"
5817,4518,548,26,"51","003","010601","51003010601"
2697,2134,169,5,"51","003","010602","51003010602"
6145,4875,1169,21,"51","003","010700","51003010700"
5325,4260,718,24,"51","003","010800","51003010800"
1900,1790,88,7,"51","003","010901","51003010901"
3191,3056,305,17,"51","003","010902","51003010902"
2613,2596,171,16,"51","003","010903","51003010903"
6292,4698,123,5,"51","003","011000","51003011000"
7024,5015,228,6,"51","003","011100","51003011100"
4092,3154,164,4,"51","003","011201","51003011201"
3413,2564,209,3,"51","003","011202","51003011202"
5390,4173,285,8,"51","003","011301","51003011301"
3765,3075,480,21,"51","003","011302","51003011302"
3738,3067,504,9,"51","003","011303","51003011303"
4351,3393,621,5,"51","003","011400","51003011400"
3959,3106,314,14,"51","005","070100","51005070100"
3362,2658,114,5,"51","005","080100","51005080100"
2842,2248,90,2,"51","005","080201","51005080201"
2629,2057,27,2,"51","005","080202","51005080202"
1905,1455,9,0,"51","005","080301","51005080301"
1553,1276,30,2,"51","005","080302","51005080302"
6913,5292,1196,6,"51","007","930100","51007930100"
5777,4576,1118,6,"51","007","930200","51007930200"
5288,4149,679,6,"51","009","010100","51009010100"
7238,5855,1221,13,"51","009","010200","51009010200"
3477,2762,257,2,"51","009","010300","51009010300"
3375,2514,450,12,"51","009","010401","51009010401"
3033,2359,375,5,"51","009","010402","51009010402"
823,722,140,1,"51","009","010502","51009010502"
2323,1782,292,3,"51","009","010503","51009010503"
4038,3123,642,7,"51","009","010504","51009010504"
2758,2147,776,10,"51","009","010600","51009010600"
6450,4976,842,10,"51","011","040100","51011040100"
4202,3281,718,11,"51","011","040200","51011040200"
4321,3391,674,10,"51","011","040300","51011040300"
4672,3378,53,5,"51","013","100100","51013100100"
6019,4300,56,3,"51","013","100200","51013100200"
6213,4688,203,15,"51","013","100300","51013100300"
3502,2598,33,1,"51","013","100400","51013100400"
4305,3189,63,6,"51","013","100500","51013100500"
3076,2541,162,11,"51","013","100600","51013100600"
5149,4107,222,8,"51","013","100700","51013100700"
1525,1201,420,3,"51","013","100800","51013100800"
4092,3168,146,3,"51","013","100900","51013100900"
3078,2246,69,3,"51","013","101000","51013101000"
5159,3995,67,4,"51","013","101100","51013101100"
3537,2655,89,6,"51","013","101200","51013101200"
6091,4798,106,5,"51","013","101300","51013101300"
1225,1159,25,4,"51","013","101401","51013101401"
2712,2536,45,11,"51","013","101402","51013101402"
5609,5408,171,10,"51","013","101403","51013101403"
4255,4054,140,16,"51","013","101404","51013101404"
7101,6164,179,18,"51","013","101500","51013101500"
1313,1203,39,0,"51","013","101601","51013101601"
1580,1474,107,7,"51","013","101602","51013101602"
3526,3351,144,8,"51","013","101603","51013101603"
4166,3927,483,19,"51","013","101701","51013101701"
4965,4602,196,16,"51","013","101702","51013101702"
2324,2173,108,8,"51","013","101703","51013101703"
2662,2473,42,4,"51","013","101801","51013101801"
6072,5515,242,21,"51","013","101802","51013101802"
3882,3392,147,6,"51","013","101803","51013101803"
2755,2263,50,2,"51","013","101900","51013101900"
2248,1952,133,9,"51","013","102001","51013102001"
1334,1151,131,3,"51","013","102002","51013102002"
4370,3711,454,9,"51","013","102003","51013102003"
2266,1860,112,8,"51","013","102100","51013102100"
7575,5600,852,27,"51","013","102200","51013102200"
1464,1169,59,5,"51","013","102301","51013102301"
3913,3126,179,8,"51","013","102302","51013102302"
3519,2952,310,9,"51","013","102400","51013102400"
4173,3528,538,18,"51","013","102500","51013102500"
3179,2515,307,5,"51","013","102600","51013102600"
3383,2623,696,23,"51","013","102701","51013102701"
1764,1435,148,13,"51","013","102702","51013102702"
6390,5314,915,15,"51","013","102801","51013102801"
1234,981,62,3,"51","013","102802","51013102802"
2740,2457,99,10,"51","013","102901","51013102901"
4461,3926,364,13,"51","013","102902","51013102902"
3093,2648,56,6,"51","013","103000","51013103000"
5198,4166,1607,23,"51","013","103100","51013103100"
5306,4603,672,24,"51","013","103200","51013103200"
2237,1910,667,7,"51","013","103300","51013103300"
646,598,47,6,"51","013","103401","51013103401"
5231,4956,498,17,"51","013","103402","51013103402"
3456,3345,180,9,"51","013","103501","51013103501"
3350,3141,401,13,"51","013","103502","51013103502"
4109,3837,410,14,"51","013","103503","51013103503"
2458,2083,45,2,"51","013","103601","51013103601"
1210,1173,58,2,"51","013","103602","51013103602"
2416,1967,48,1,"51","013","103700","51013103700"
4333,3710,639,20,"51","013","103800","51013103800"
2,2,0,0,"51","013","980100","51013980100"
4,4,0,0,"51","013","980200","51013980200"
4731,3927,192,6,"51","017","920100","51017920100"
3901,3235,205,8,"51","021","040100","51021040100"
2923,2369,9,1,"51","021","040200","51021040200"
3968,3350,684,0,"51","015","070100","51015070100"
3754,2848,32,1,"51","015","070200","51015070200"
6088,4542,50,2,"51","015","070300","51015070300"
5307,4106,72,6,"51","015","070400","51015070400"
5240,4224,116,4,"51","015","070500","51015070500"
9218,7228,398,11,"51","015","070600","51015070600"
6689,5436,331,8,"51","015","070700","51015070700"
6266,4985,115,5,"51","015","070800","51015070800"
4936,3967,139,4,"51","015","070900","51015070900"
5939,4724,156,3,"51","015","071000","51015071000"
4630,3478,182,10,"51","015","071101","51015071101"
5735,4426,85,3,"51","015","071102","51015071102"
5980,4681,154,10,"51","015","071200","51015071200"
6639,4898,283,6,"51","019","030101","51019030101"
5219,3955,255,8,"51","019","030103","51019030103"
4374,3396,288,6,"51","019","030104","51019030104"
8061,5778,303,1,"51","019","030201","51019030201"
5592,4335,393,7,"51","019","030202","51019030202"
3739,3013,305,0,"51","019","030300","51019030300"
2905,2385,147,0,"51","019","030401","51019030401"
6790,5304,564,6,"51","019","030402","51019030402"
4075,3115,232,3,"51","019","030501","51019030501"
2410,2131,12,3,"51","019","030503","51019030503"
3018,2443,143,1,"51","019","030504","51019030504"
3502,2762,91,7,"51","019","030601","51019030601"
3668,2936,32,1,"51","019","030602","51019030602"
2685,2136,19,1,"51","019","030603","51019030603"
2688,2124,14,0,"51","019","030604","51019030604"
3311,2660,52,1,"51","019","030605","51019030605"
8318,6236,364,13,"51","043","010100","51043010100"
3055,2449,233,1,"51","043","010200","51043010200"
2661,2128,16,6,"51","043","010300","51043010300"
3945,3049,917,16,"51","029","930101","51029930101"
3077,2453,1048,5,"51","029","930102","51029930102"
5669,4842,2121,7,"51","029","930201","51029930201"
4455,3505,852,7,"51","029","930202","51029930202"
