State, 2020 Population ,Quota,Hill-Huntington (Actual),Webster,Jefferson,Adams,Hamilton,abs diff
California,"39,576,757",46.02,52,0,2,-2,0,4
New York,"20,215,751",23.51,26,1,2,0,0,3
Texas,"29,183,290",33.93,38,0,2,-1,0,3
Florida,"21,570,527",25.08,28,0,1,-1,0,2
Idaho,"1,841,377",2.14,2,0,0,1,1,2
Minnesota,"5,709,752",6.64,8,0,-1,0,-1,2
Montana,"1,085,407",1.26,2,-1,-1,0,0,2
Ohio,"11,808,848",13.73,15,1,1,0,0,2
Rhode Island,"1,098,163",1.28,2,-1,-1,0,0,2
Alabama,"5,030,053",5.85,7,0,-1,0,0,1
Delaware,"990,837",1.15,1,0,0,1,0,1
Illinois,"12,822,739",14.91,17,0,0,-1,0,1
Maine,"1,363,582",1.59,2,0,-1,0,0,1
Nebraska,"1,963,333",2.28,3,0,-1,0,0,1
New Hampshire,"1,379,089",1.60,2,0,-1,0,0,1
New Mexico,"2,120,220",2.47,3,0,-1,0,0,1
Oregon,"4,241,500",4.93,6,0,-1,0,0,1
Pennsylvania,"13,011,844",15.13,17,0,1,0,0,1
South Dakota,"887,770",1.03,1,0,0,1,0,1
Utah,"3,275,252",3.81,4,0,0,1,0,1
West Virginia,"1,795,045",2.09,2,0,0,1,0,1
Alaska,"736,081",0.86,1,0,0,0,0,0
Arizona,"7,158,923",8.32,9,0,0,0,0,0
Arkansas,"3,013,756",3.50,4,0,0,0,0,0
Colorado,"5,782,171",6.72,8,0,0,0,0,0
Connecticut,"3,608,298",4.20,5,0,0,0,0,0
Georgia,"10,725,274",12.47,14,0,0,0,0,0
Hawaii,"1,460,137",1.70,2,0,0,0,0,0
Indiana,"6,790,280",7.90,9,0,0,0,0,0
Iowa,"3,192,406",3.71,4,0,0,0,0,0
Kansas,"2,940,865",3.42,4,0,0,0,0,0
Kentucky,"4,509,342",5.24,6,0,0,0,0,0
Louisiana,"4,661,468",5.42,6,0,0,0,0,0
Maryland,"6,185,278",7.19,8,0,0,0,0,0
Massachusetts,"7,033,469",8.18,9,0,0,0,0,0
Michigan,"10,084,442",11.73,13,0,0,0,0,0
Mississippi,"2,963,914",3.45,4,0,0,0,0,0
Missouri,"6,160,281",7.16,8,0,0,0,0,0
Nevada,"3,108,462",3.61,4,0,0,0,0,0
New Jersey,"9,294,493",10.81,12,0,0,0,0,0
North Carolina,"10,453,948",12.16,14,0,0,0,0,0
North Dakota,"779,702",0.91,1,0,0,0,0,0
Oklahoma,"3,963,516",4.61,5,0,0,0,0,0
South Carolina,"5,124,712",5.96,7,0,0,0,0,0
Tennessee,"6,916,897",8.04,9,0,0,0,0,0
Vermont,"643,503",0.75,1,0,0,0,0,0
Virginia,"8,654,542",10.06,11,0,0,0,0,0
Washington,"7,715,946",8.97,10,0,0,0,0,0
Wisconsin,"5,897,473",6.86,8,0,0,0,0,0
Wyoming,"577,719",0.67,1,0,0,0,0,0